FORMA,MODELO,VALOR (Em Reais),BAIRRO,REGIÃO,IMOBILIARIA
Venda,apartamento 2 dormitórios,"259.000,00",Jardim das Industrias,Oeste,Ferreirinha
Venda,apartamento 2 dormitórios,"265.000,00",Vila Tatetuba,Leste,Executiva
Venda,apartamento 2 dormitórios,"250.000,00",Vila Tatetuba,Leste,Ideal
Venda,apartamento 2 dormitórios,"260.000,00",Santana,Norte,Alvorada
Venda,apartamento 2 dormitórios,"270.000,00",Vila Betania,Central,Executiva
Venda,apartamento 2 dormitórios,"255.000,00",Parque Industrial,Sul,Elite
Venda,apartamento 2 dormitórios,"260.000,00",Jardim Satélite,Sul,Executiva
Venda,apartamento 2 dormitórios,"270.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 2 dormitórios,"255.000,00",Jardim Satélite,Sul,Independence
Venda,apartamento 2 dormitórios,"260.000,00",Santana,Norte,Geração
Venda,apartamento 2 dormitórios,"275.000,00",Jardim Maringá,Central,Vasconcelos
Venda,apartamento 2 dormitórios,"280.000,00",Jardim São Dimas,Central,Brasil
Venda,apartamento 2 dormitórios,"295.000,00",Jardim Aquárius,Oeste,Piramide
Venda,apartamento 2 dormitórios,"320.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 2 dormitórios,"290.000,00",Vila Ema,Oeste,Executiva
Venda,apartamento 2 dormitórios,"298.000,00",Jardim das Industrias,Oeste,Terra
Venda,apartamento 2 dormitórios,"320.000,00",Jardim Aquárius,Oeste,Terra
Venda,apartamento 2 dormitórios,"290.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 2 dormitórios,"310.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 2 dormitórios,"320.000,00",Jardim Aquárius,Oeste,Kogake
Venda,apartamento 2 dormitórios,"300.000,00",Jardim Esplanada,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"330.000,00",Jardim São Dimas,Central,Ideal
Venda,apartamento 2 dormitórios,"325.000,00",Vila Adyana,Central,Celeste
Venda,apartamento 2 dormitórios,"295.000,00",Jardim Aquárius,Oeste,Ferreirinha
Venda,apartamento 2 dormitórios,"310.000,00",Jardim Aquárius,Oeste,Independence
Venda,apartamento 2 dormitórios,"328.000,00",Floradas de São José,Sul,Independence
Venda,apartamento 2 dormitórios,"330.000,00",Jardim Aquárius,Oeste,Celeste
Venda,apartamento 2 dormitórios,"340.000,00",Jardim Esplanada II,Oeste,Vasconcelos
Venda,apartamento 2 dormitórios,"382.000,00",Jardim Alvorada,Oeste,Brasil
Venda,apartamento 2 dormitórios,"330.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 2 dormitórios,"350.000,00",Jardim Maringá,Central,Geração
Venda,apartamento 2 dormitórios,"402.000,00",Jardim Aquárius,Oeste,Brasil
Venda,apartamento 2 dormitórios,"330.000,00",Vila Adyana,Central,Vasconcelos
